Country Name,Year,Cost of a healthy diet
Albania,2019,4.117
Albania,2020,4.197
Algeria,2019,3.796
Algeria,2020,3.76
Angola,2019,4.352
Angola,2020,4.534
Antigua and Barbuda,2019,4.391
Antigua and Barbuda,2020,4.504
Armenia,2019,3.237
Armenia,2020,3.247
Aruba,2019,3.907
Aruba,2020,4.138
Australia,2019,2.325
Australia,2020,2.561
Austria,2019,2.818
Austria,2020,2.981
Azerbaijan,2019,2.459
Azerbaijan,2020,2.533
"Bahamas, The",2019,4.364
"Bahamas, The",2020,4.488
Bahrain,2019,3.573
Bahrain,2020,3.835
Bangladesh,2019,3.024
Bangladesh,2020,3.064
Belarus,2019,3.31
Belarus,2020,3.31
Belgium,2019,2.943
Belgium,2020,3.13
Belize,2019,2.221
Belize,2020,2.14
Benin,2019,3.664
Benin,2020,3.707
Bermuda,2019,3.788
Bermuda,2020,3.616
Bhutan,2019,4.712
Bhutan,2020,5.029
Bolivia,2019,3.769
Bolivia,2020,3.755
Bosnia and Herzegovina,2019,3.895
Bosnia and Herzegovina,2020,3.995
Botswana,2019,3.591
Botswana,2020,3.701
Brazil,2019,2.882
Brazil,2020,3.084
British Virgin Islands,2019,3.313
British Virgin Islands,2020,3.337
Brunei Darussalam,2019,4.327
Brunei Darussalam,2020,4.405
Bulgaria,2019,3.896
Bulgaria,2020,4.108
Burkina Faso,2019,3.24
Burkina Faso,2020,3.345
Burundi,2019,2.783
Burundi,2020,2.943
Cabo Verde,2019,3.484
Cabo Verde,2020,3.563
Cambodia,2019,3.778
Cambodia,2020,3.888
Cameroon,2019,2.744
Cameroon,2020,2.808
Canada,2019,2.918
Canada,2020,3.008
Cayman Islands,2019,2.714
Cayman Islands,2020,2.765
Central African Republic,2019,3.57
Central African Republic,2020,3.615
Chad,2019,2.659
Chad,2020,2.821
Chile,2019,3.213
Chile,2020,3.402
China,2019,2.792
China,2020,2.983
Colombia,2019,2.93
Colombia,2020,3.065
"Congo, Dem. Rep.",2019,2.127
"Congo, Dem. Rep.",2020,2.077
"Congo, Rep.",2019,3.365
"Congo, Rep.",2020,3.422
Costa Rica,2019,4.041
Costa Rica,2020,4.11
Côte d'Ivoire,2019,3.506
Côte d'Ivoire,2020,3.61
Croatia,2019,4.111
Croatia,2020,4.277
Curacao,2019,3.144
Curacao,2020,3.328
Cyprus,2019,2.836
Cyprus,2020,2.969
Czech Republic,2019,2.919
Czech Republic,2020,2.966
Denmark,2019,2.432
Denmark,2020,2.544
Djibouti,2019,2.985
Djibouti,2020,3.112
Dominica,2019,4.236
Dominica,2020,4.345
Dominican Republic,2019,3.744
Dominican Republic,2020,3.884
East Asia & Pacific,2019,3.871
East Asia & Pacific,2020,4.054
Ecuador,2019,2.861
Ecuador,2020,2.928
"Egypt, Arab Rep.",2019,3.503
"Egypt, Arab Rep.",2020,3.369
Equatorial Guinea,2019,3.635
Equatorial Guinea,2020,3.676
Estonia,2019,3.17
Estonia,2020,3.308
Eswatini,2019,3.395
Eswatini,2020,3.391
Ethiopia,2019,3.29
Ethiopia,2020,3.366
Europe & Central Asia,2019,3.037
Europe & Central Asia,2020,3.139
Fiji,2019,3.858
Fiji,2020,3.914
Finland,2019,2.611
Finland,2020,2.712
France,2019,3.067
France,2020,3.219
Gabon,2019,3.485
Gabon,2020,3.552
"Gambia, The",2019,3.054
"Gambia, The",2020,3.11
Germany,2019,2.881
Germany,2020,3.025
Ghana,2019,3.941
Ghana,2020,4.033
Greece,2019,3.065
Greece,2020,3.13
Grenada,2019,5.625
Grenada,2020,5.796
Guinea,2019,4.001
Guinea,2020,4.127
Guinea-Bissau,2019,3.335
Guinea-Bissau,2020,3.505
Guyana,2019,4.828
Guyana,2020,4.889
Haiti,2019,4.275
Haiti,2020,4.49
High income,2019,3.225
High income,2020,3.354
Honduras,2019,3.404
Honduras,2020,3.486
"Hong Kong SAR, China",2019,4.147
"Hong Kong SAR, China",2020,4.513
Hungary,2019,3.368
Hungary,2020,3.488
Iceland,2019,2.234
Iceland,2020,2.414
India,2019,2.877
India,2020,2.97
Indonesia,2019,4.268
Indonesia,2020,4.466
"Iran, Islamic Rep.",2019,3.642
"Iran, Islamic Rep.",2020,3.55
Iraq,2019,3.534
Iraq,2020,3.54
Ireland,2019,2.269
Ireland,2020,2.225
Israel,2019,2.454
Israel,2020,2.492
Italy,2019,3.012
Italy,2020,3.144
Jamaica,2019,6.398
Jamaica,2020,6.681
Japan,2019,5.609
Japan,2020,5.808
Jordan,2019,3.5
Jordan,2020,3.614
Kazakhstan,2019,2.537
Kazakhstan,2020,2.657
Kenya,2019,2.907
Kenya,2020,2.968
"Korea, Rep.",2019,4.8
"Korea, Rep.",2020,5.183
Kuwait,2019,3.468
Kuwait,2020,3.606
Kyrgyz Republic,2019,2.991
Kyrgyz Republic,2020,3.18
Lao PDR,2019,3.959
Lao PDR,2020,4.141
